NMF,LC,NAD, NUC, NMS, NMD, Entropy ,MLMF,CFC,NCC,NMC,a2a
7,271,3,5,1,2,2.195529186,1366,24,1080,10,99.53271028
9,307,3,24,1,4,2.539610128,1504,29,1268,12,99.53271028
7,271,3,5,1,2,2.195529186,1366,24,1080,10,99.53271028
8,278,3,37,1,3,2.398454655,1484,24,1120,10,99.53271028
7,271,3,5,1,2,2.195529186,1366,24,1080,10,99.53271028
0,0,0,0,0,0,0,0,0,0,0,100
7,271,3,8,1,2,2.195529186,1095,24,1080,10,99.53271028
0,0,0,0,0,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,100
7,271,3,5,1,2,2.195529186,1366,24,1080,10,99.53271028
8,284,3,45,1,3,2.398454655,2406,28,1166,11,99.53271028
7,271,3,5,1,2,2.195529186,1366,24,1080,10,99.53271028
7,271,3,8,1,2,2.195529186,1095,24,1080,10,99.53271028
2,56,0,32,1,2,0.999570839,614,7,461,2,99.68774395
5,727,4,13,1,2,1.861840305,111,115,3983,60,89.16728077
9,327,3,31,1,4,2.695188546,2036,31,1541,12,88.84026258
18,826,8,32,1,8,3.40033386,2194,71,4290,40,88.06941432
9,327,3,31,1,4,2.695188546,2036,31,1541,12,92.44505495
11,379,3,32,1,6,3.043232737,2012,39,1894,14,92.44505495
0,0,0,0,0,0,0,0,0,0,0,100
7,53,0,22,1,3,2.727557532,1931,7,199,8,100
9,323,3,7,1,4,2.657140766,1721,32,1433,12,92.78350515
9,323,3,8,1,4,2.657409796,1398,32,1433,12,92.78350515
0,0,0,0,0,0,0,0,0,0,0,100
2,31,0,46,1,2,0.989245297,2035,7,184,1,100
0,0,0,0,0,0,0,0,0,0,0,100
11,354,3,45,1,6,2.966077139,3787,39,1617,13,92.78350515
11,354,3,46,1,6,2.965556843,3433,39,1617,13,92.78350515
0,0,0,0,0,0,0,0,0,0,0,100
11,354,3,45,1,6,2.966077139,3787,39,1617,13,92.78350515
0,0,0,0,0,0,0,0,0,0,0,100
