CommitID,FileName,FromFile,ToFile,FileDeps,FilesDeps,CommitDeps
0ac105e163d7fe4feaabc3d00521cf7e1d7d78d2,/,0,0,0,0,830
87b64a3b0530a433520bd32ca81858207bd64588,/,0,0,0,0,830
8c1db2821e3a0e87e7ab96498d4be14cb75f49d7,/,0,0,0,0,830
48da0df6c57ad2fd51ed91a971b44b415e17de4d,/,0,0,0,0,830
bc40723fc8aeeb0b57d83e8b2cbe1377d4a1ebe3,/,0,0,0,0,830
754bbd5a43f0156acaeb84bc2573274be1da8a69,/,0,0,0,0,830
9e422555234952d9d7090d14d86eb25e8114c586,/,0,0,0,0,830
66243cb6fd778eeb5c2dc960b0430584088fc943,/,0,0,0,0,830
1857557df701c5c27093dd2762cd60110f06a5f3,GenericDatumReader.java,13,26,39,56,2487
,ResolvingDecoder.java,10,4,14,,
,TestResolvingIOResolving.java,3,0,3,,
3b1b3f0d79608c32df9acebcac1dd757ea3fef24,TestWordCountGeneric.java,8,0,8,14,1658
,TestWordCountSpecific.java,6,0,6,,
00c23392cc9a6a902217d58a5f20360163b61450,DataFileWriter.java,12,11,23,23,829
93a483eb1efafadd9cac2e104ecbe31ae2b9451d,/,0,0,0,0,830
bbcfd0b3e23062b1f33e9f81eb94ff0c2093ad41,/,0,0,0,0,830
0c4cb52cbdc1b12732ec154dcfc70594ea9e9088,/,0,0,0,0,830
7a42efd0d6c07d85f89c46ced85bf3949f60fc02,/,0,0,0,0,830
3f7443f350516b697e9e409c757c432be4540662,/,0,0,0,0,830
0fa29793bb738f3b1848063806c6fb53d44fca01,/,0,0,0,0,830
c22739175bc664887b4195f58cdec1e63e15959e,/,0,0,0,0,830
d77c7ecb8e3438e4ca4b25dd28373b3ae05a5c49,/,0,0,0,0,830
d8e96da726d2d2e57d40afdd9deb6dbac09719ca,DataFileWriter.java,12,11,23,164,14093
,GenericDatumReader.java,13,26,39,,
,ResolvingDecoder.java,10,4,14,,
,AvroInputFormat.java,3,0,3,,
,AvroJob.java,1,6,7,,
,AvroKeyComparator.java,6,0,6,,
,AvroKeySerialization.java,12,0,12,,
,AvroMapper.java,1,2,3,,
,AvroOutputFormat.java,8,1,9,,
,AvroRecordReader.java,8,1,9,,
,AvroReducer.java,1,2,3,,
,AvroWrapper.java,0,7,7,,
,FsInput.java,1,1,2,,
,TestResolvingIOResolving.java,3,0,3,,
,TestWordCountGeneric.java,8,0,8,,
,TestWordCountSpecific.java,6,0,6,,
,WordCountUtil.java,8,2,10,,
627d42de01bbd935ac469ff0ca0af135b75cef1e,DataFileWriter.java,12,9,21,113,15320
,GenericArray.java,1,7,8,,
,GenericData.java,13,14,27,,
,GenericDatumReader.java,13,24,37,,
,ResolvingDecoder.java,10,4,14,,
,AvroInputFormat.java,0,0,0,,
,AvroJob.java,0,0,0,,
,AvroKeyComparator.java,0,0,0,,
,AvroKeySerialization.java,0,0,0,,
,AvroMapper.java,0,0,0,,
,AvroOutputFormat.java,0,0,0,,
,AvroRecordReader.java,0,0,0,,
,AvroReducer.java,0,0,0,,
,AvroWrapper.java,0,0,0,,
,FsInput.java,0,0,0,,
,TestGenericData.java,3,0,3,,
,TestResolvingIOResolving.java,3,0,3,,
,TestWordCountGeneric.java,0,0,0,,
,TestWordCountSpecific.java,0,0,0,,
,WordCountUtil.java,0,0,0,,
0d274c9617ee25f51abfcef572e881b93e8216b7,ReflectData.java,10,7,17,31,1660
,TestReflect.java,14,0,14,,
dd7d8f60f47002c6c785c59783b66ea5abf4bc60,Protocol.java,3,26,29,337,16600
,HttpTransceiver.java,1,5,6,,
,Requestor.java,48,18,66,,
,Responder.java,43,25,68,,
,SocketServer.java,3,8,11,,
,SocketTransceiver.java,1,9,10,,
,Transceiver.java,14,29,43,,
,SpecificCompiler.java,9,4,13,,
,TestBulkData.java,6,0,6,,
,TestNamespaceReflect.java,5,0,5,,
,TestNamespaceSpecific.java,7,1,8,,
,TestProtocolDatagram.java,6,0,6,,
,TestProtocolGeneric.java,13,1,14,,
,TestProtocolGenericMeta.java,7,0,7,,
,TestProtocolHttp.java,6,0,6,,
,TestProtocolParsing.java,1,1,2,,
,TestProtocolReflect.java,7,1,8,,
,TestProtocolReflectMeta.java,9,0,9,,
,TestProtocolSpecific.java,8,3,11,,
,TestProtocolSpecificMeta.java,9,0,9,,
c2d9f070a66e2dd4203a8474ff8d53e4a6e0f406,/,0,0,0,0,834
abdbc5744d15001bf473cf0701ad3b1b490e6fde,Protocol.java,3,28,31,582,34986
,DataFileWriter.java,12,11,23,,
,GenericArray.java,1,8,9,,
,GenericData.java,14,16,30,,
,GenericDatumReader.java,13,26,39,,
,ResolvingDecoder.java,10,4,14,,
,HttpTransceiver.java,1,5,6,,
,Requestor.java,48,18,66,,
,Responder.java,44,25,69,,
,SocketServer.java,3,8,11,,
,SocketTransceiver.java,2,9,11,,
,Transceiver.java,16,30,46,,
,AvroInputFormat.java,3,0,3,,
,AvroJob.java,1,6,7,,
,AvroKeyComparator.java,6,0,6,,
,AvroKeySerialization.java,12,0,12,,
,AvroMapper.java,1,2,3,,
,AvroOutputFormat.java,8,1,9,,
,AvroRecordReader.java,8,1,9,,
,AvroReducer.java,1,2,3,,
,AvroWrapper.java,0,7,7,,
,FsInput.java,1,1,2,,
,ReflectData.java,10,7,17,,
,SpecificCompiler.java,9,4,13,,
,TestBulkData.java,6,0,6,,
,TestNamespaceReflect.java,5,0,5,,
,TestNamespaceSpecific.java,7,1,8,,
,TestProtocolDatagram.java,6,0,6,,
,TestProtocolGeneric.java,13,1,14,,
,TestProtocolGenericMeta.java,7,0,7,,
,TestProtocolHttp.java,6,0,6,,
,TestProtocolParsing.java,1,1,2,,
,TestProtocolReflect.java,7,1,8,,
,TestProtocolReflectMeta.java,9,0,9,,
,TestProtocolSpecific.java,8,3,11,,
,TestProtocolSpecificMeta.java,9,0,9,,
,TestReflect.java,14,0,14,,
,TestGenericData.java,4,0,4,,
,TestResolvingIOResolving.java,3,0,3,,
,TestWordCountGeneric.java,8,0,8,,
,TestWordCountSpecific.java,6,0,6,,
