Avro,,Calcite,,Cxf,,Groovy,,Zookeeper,
Release,commit,Release,commit,Release,commit,Release,commit,Release,commit
,99.53271028,,99.97643732,,100,,100,,100
,99.53271028,,100,,100,,100,,100
,99.53271028,,100,,100,,100,,100
,99.53271028,,100,,100,,100,,99.83552632
,99.53271028,,99.94110025,,100,,100,,99.75389664
,100,,100,,100,,100,,100
,99.53271028,,100,,100,,100,,100
,100,,100,,100,,100,,100
,100,,100,,99.14512518,,100,,96.29044988
,99.53271028,,100,,100,,100,,100
,99.53271028,,99.91752091,,100,,99.85119048,,100
,99.53271028,,94.01921289,,100,,99.85185185,,94.20709631
,99.53271028,,100,,99.9898898,,100,,99.24863388
,99.68774395,,100,,100,,97.00690714,,100
,89.16728077,,91.6098166,,100,,100,,100
,88.84026258,,99.98290598,,100,,100,,100
,88.06941432,,100,,100,,99.60159363,,100
,92.44505495,,87.83407285,,100,,100,,93.09878214
,92.44505495,,100,,99.77793479,,100,,100
,100,,99.18192443,,100,,99.84126984,,100
,100,,100,,100,,99.84177215,,100
,92.78350515,,100,,100,,100,,100
,92.78350515,,100,,100,,100,,99.45799458
,100,,100,,100,,100,,100
,100,,100,,99.98992037,,100,,100
,100,,100,,100,,100,,100
,92.78350515,,100,,100,,99.76284585,,100
,92.78350515,,100,,100,,100,,100
,100,,100,,100,,100,,100
,92.78350515,,100,,100,,100,,100
,100,,99.75366265,,94.79733287,,100,,100
,100,,100,,100,,100,,100
,100,,100,,100,,100,,82.88732394
,92.78350515,,100,,100,,100,,96.83124539
,100,,100,,100,,100,,100
,100,,100,,100,,100,,100
,100,,100,,100,,100,,100
,99.93131868,,100,,100,,100,,100
,100,,99.97405293,,100,,100,,100
,100,,100,,100,,100,,100
,100,,100,,100,,100,,82.66100495
,100,,100,,99.78649068,,100,,82.66100495
,99.51956074,,100,,99.80236388,,100,,100
,100,,100,,100,,100,,100
,100,,100,,99.96518375,,100,,100
,97.29916898,,100,,99.98066736,,96.11069559,,100
,97.78085992,,100,,100,,100,,100
,100,,100,,100,,99.78708304,,100
